"Source:","C:\Users\Aniruddh Chauhan\Documents\AMP_Lab_Repo\PCBs\Tractor_PCB\555_badge\555_badge.kicad_sch"
"Date:","8/16/2023 8:39:39 PM"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","3"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BT1","1","3V","Battery_Cell","Battery:BatteryHolder_Keystone_1058_1x2032","Single-cell battery","",""
"D1","1","red","LED","LED_THT:LED_D5.0mm","Light emitting diode","",""
"R2","1","1k","R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor","",""
